ID,type,city,postcode,lat,lon,rentGross,livingSpace,numberOfRooms,yearBuilt,hasBalcony,hasElevator,hasParking
4001078806,"['APARTMENT', 'FLAT']",Prilly,1008,46.544261781972,6.603212311601,1880.0,50.0,2.5,2024.0,True,True,False
4001102502,"['APARTMENT', 'FLAT']",Möhlin,4313,47.560161781979,7.850212311601,3300.0,116.0,4.5,2024.0,True,True,False
4000838764,"['APARTMENT', 'FLAT']",Basel,4057,47.569361781974,7.597532311607,2360.0,85.0,3.5,2024.0,True,False,True
4001148439,"['APARTMENT', 'FLAT']",Biberist,4562,47.179611781978,7.566972311606,1800.0,90.0,3.5,2018.0,True,True,True
3002413023,"['APARTMENT', 'FLAT']",Herzogenbuchsee,3360,47.188661781975,7.707022311605,1280.0,90.0,4.5,2014.0,False,False,False
4000943755,"['APARTMENT', 'FLAT']",Herzogenbuchsee,3360,47.188701781971,7.707292311601,700.0,27.0,1.0,2014.0,False,False,False
4000622270,"['APARTMENT', 'ROOF_FLAT']",Herzogenbuchsee,3360,47.188701781971,7.707292311601,970.0,52.0,2.5,2014.0,False,False,False
4001148207,"['APARTMENT', 'BACHELOR_FLAT']",Neckertal,9122,47.363421781973,9.139762311606,850.0,61.0,3.0,2014.0,True,False,True
4001148182,"['APARTMENT', 'DUPLEX']",Sigriswil,3655,46.716181781977,7.714052311609,2700.0,110.0,4.5,1973.0,True,False,True
4001148181,"['APARTMENT', 'FLAT']",St-Prex,1162,46.482911781976,6.458342311602,2390.0,98.0,3.5,2014.0,True,True,True
4001148179,"['APARTMENT', 'FLAT']",Ehrendingen,5420,47.496941781973,8.340642311603,1990.0,105.0,3.5,2013.0,True,True,False
4001148158,"['APARTMENT', 'FLAT']",Meiringen,3860,46.727801781971,8.189542311609,1708.0,100.0,4.5,2014.0,True,False,False
4001148155,"['HOUSE', 'BIFAMILIAR_HOUSE']",Reinach,4153,47.492391781971,7.596142311605,3500.0,150.0,6.5,2014.0,True,False,True
4001148059,"['APARTMENT', 'DUPLEX']",Liestal,4410,47.482871781979,7.741322311609,2550.0,158.0,5.5,2002.0,True,True,True
